nama_model,kode_model
Kawasaki Z 900,183
BMW R 100 GS,1785
Suzuki V-Strom 650,1729
Suzuki Burgman 650,141
BMW F 900 R,1505
Piaggio MP3 500,214
BMW R 1200 RS,666
Harley-Davidson Road King,1031
Kawasaki Ninja 650,942
KTM 1290 Super Duke R,212
BMW R 1200 R,829
Honda VTX 1800,674
Harley-Davidson Sportster 1200,209
BMW R 1200 GS,1925
Vespa GTS 300,204
BMW R 1200,2027
Yamaha Niken,248
BMW R 80/7,1282
Malaguti XTM,2051
Yamaha Xenter 150,214
BMW R 1200 RS,1949
Vespa Sprint,1838
Triumph Bonneville Bobber,1744
Suzuki GSX-R 1000,674
Harley-Davidson Sportster 1200,649
Harley-Davidson Fat Boy,638
Harley-Davidson Dyna Street Bob,260
BMW S 1000 XR,2031
Yamaha SCR 950,1875
Triumph Thunderbird 6T,388
CF Moto CForce 625,1879
Triumph Thunderbird Sport,818
Honda VFR 1200,141
BMW F 900 R,1643
SYM Jet 14,733
Honda CBR 650,1416
Others,1044
Kawasaki Versys 1000,2016
Yamaha MT-09,413
Can Am Maverick,2051
Yamaha Ténéré 700,1049
Kawasaki Vulcan S,516
Ducati Monster 1200,800
Honda SH 300,1052
Kawasaki Z 1000,209
BMW R 1200 GS,1790
Suzuki VS 1400,221
BMW R 1250 RS,1749
Suzuki GSX-S 1000,140
BMW F 850 GS,2051
Yamaha XVS 650,653
Harley-Davidson Heritage Softail,743
Honda CRF 1000,526
Ducati Multistrada 1260,257
BMW R18 Classic,1955
Victory Boardwalk,533
Ducati Scrambler,2051
Zündapp DS 350,643
Harley-Davidson Electra Glide,649
Harley-Davidson Fat Boy,739
Honda CMX 500,649
Harley-Davidson Fat Boy,142
BMW F 900 XR,1998
Yamaha FJR 1300,258
BMW S 1000 R,2016
Yamaha MT-09,1416
Others,790
Honda PCX 125,956
KTM 390 Duke,1565
Quadro,529
Ducati Panigale V4,255
BMW R nineT,220
BMW R 1250 R,690
Harley-Davidson VRSC Night Rod,1749
Suzuki GSX-S 1000,1728
Suzuki Burgman 400,1881
Triumph Tiger 1050,1049
Kawasaki Vulcan S,1159
Kymco People S 50,260
BMW S 1000 XR,623
Harley-Davidson,527
Ducati Multistrada 950,2051
Yamaha XTZ 1200,1060
Kawasaki Z 900,1479
Piaggio 50 N,414
Can Am Outlander,136
BMW C 650 GT,209
BMW R 1200 GS,1059
Kawasaki Z 800,989
Kawasaki,799
Honda SH 150,376
Bullit Spirit,1658
SYM SYMNH X,470
Ducati,935
KTM 125 EXC,237
BMW R 69 S,136
BMW C Evolution,218
BMW R 1250 GS,1176
Kymco Xciting 500i,666
Harley-Davidson Road King,2051
Yamaha XSR 700,1164
Kymco Super 9,612
Gnome et Rhône AX II,632
Harley-Davidson Deluxe,1858
Triumph Speed Triple S,1785
Suzuki V-Strom 650,1049
Kawasaki Vulcan S,140
BMW F 850 GS,1799
TGB Bullet 50,478
Ducati 1299 Panigale,2051
Yamaha Tracer 900,1867
Triumph Street Triple R,511
Ducati Hypermotard 950,769
Honda GL 1800,2051
Yamaha X-City 125,705
Honda,940
KTM 1290 Super Adventure,1478
Piaggio,934
KTM 125 Duke,2051
Yamaha YZF-R1,1998
Yamaha FJR 1300,1362
Moto Guzzi V 7,1736
Suzuki GSR 750,1031
Kawasaki Ninja 650,209
BMW R 1200 GS,209
BMW R 1200 GS,669
Harley-Davidson Softail,780
Honda NC 700,506
Ducati Diavel,781
Honda NC 750,1052
Kawasaki Z 1000,209
BMW R 1200 GS,174
BMW K 1600 GT,211
BMW R 1200 GS LC,2042
Yamaha TMAX 560,967
KTM 690 Duke,932
KTM 1190 Adventure,1660
SYM Symphony 125,230
BMW R 50,258
BMW S 1000 R,769
Honda GL 1800,140
BMW F 850 GS,2041
Yamaha TMAX 530,790
Honda PCX 125,258
BMW S 1000 R,1730
Suzuki DR 125,733
Honda CBR 650,932
KTM 1190 Adventure,136
Aprilia RS 250,140
BMW F 850 GS,2051
Yamaha Vmax,1036
Kawasaki Ninja ZX-6R,260
BMW S 1000 XR,835
Honda X-ADV,1044
Kawasaki Versys 1000,372
Buell XB 12,470
Ducati,951
KTM 300 EXC,818
Honda VFR 1200,1886
Triumph Tiger Explorer,1502
Piaggio MP3 300,2051
Znen,136
BMW C 650,2051
Zero,2015
Yamaha MT-07,932
KTM 1190 Adventure,209
BMW R 1200 GS,470
Ducati,1072
Kawasaki ZZR 1400,924
KSR Moto TR 125,1572
REX 50,1421
Others MGM Quad`s,141
BMW F 900 R,260
BMW S 1000 XR,391
CF Moto CForce 850,214
BMW R 1200 RS,1155
Kymco People One,1603
Rolektro Eco-City,2051
Zündapp KS 125,521
Ducati Monster 821,416
Can Am Renegade,727
Honda CBR 1000,679
Harley-Davidson Sportster XR 1200,1694
Shineray XY 250,674
Harley-Davidson Sportster 1200,723
Honda CBF 1000,563
Explorer Race 50,638
Harley-Davidson Dyna Street Bob,136
BMW F 800 GS,748
Honda CTX 700,2051
Yamaha XV 1900,674
Harley-Davidson Sportster 1200,1749
Suzuki GSX-S 1000,1986
Yamaha,2051
Yamaha YZF 1000,824
Honda VT 1300,2051
Yamaha XT 1200,1050
Kawasaki W 800,989
Kawasaki,1255
MV Agusta Turismo Veloce 800,2051
Yamaha Tracer 700,1406
Nova Motors Retro Cruiser,526
Ducati Multistrada 1260,967
KTM 690 Duke,1842
Triumph Bonneville T100,710
Honda CB 1000,726
Honda CBF 600,395
CF Moto Tracker,1668
SYM Wolf SB 125 Ni,2016
Yamaha MT-09,240
BMW R 75/5,244
BMW R 80 GS,799
Honda SH 150,1032
Kawasaki Ninja H2,710
Honda CB 1000,525
Ducati Multistrada 1200,1856
Triumph Speed Triple 1050,940
KTM 1290 Super Adventure,259
BMW S 1000 RR,744
Honda CRF 1100,142
BMW F 900 XR,502
Ducati 996,387
CF Moto CForce 600,1751
Suzuki GSX-S 750,967
KTM 690 Duke,2051
Yamaha YZF-R6,1060
Kawasaki Z 900,793
Honda PS 125i,1777
Suzuki SV 650,210
BMW R 1200 GS Adventure,2051
Yamaha Tracer 700,1255
MV Agusta Turismo Veloce 800,973
KTM 790 Duke,1534
Polaris General,186
BMW R 100 RS,1757
Suzuki Hayabusa,1416
Others,641
Harley-Davidson Dyna Wide Glide,536
Ducati XDiavel,820
Honda VFR 750,136
Aprilia Leonardo 150,475
Ducati 1198,1478
Piaggio,2051
Yamaha XSR 900,1882
Triumph Tiger 1200,209
BMW R 1200 GS,689
Harley-Davidson V-Rod,2051
Yamaha XSR 700,136
Aprilia Tuono,692
Harley-Davidson VRSC V-Rod,1104
Kymco,790
Honda PCX 125,518
Ducati Monster 796,649
Harley-Davidson Fat Boy,2051
Zero Zero DS,2013
Yamaha MT-01,953
KTM 350 EXC,212
BMW R 1200 R,1262
MZ TS 250,209
