nama_model,kode_model
Ducati Multistrada 950,1026
Harley-Davidson XL 1200,393
Yamaha Majesty 250,973
Kawasaki,1023
Kawasaki Z 1,533
Yamaha TMAX SX,1785
KTM 1290 Super Adventure,727
Peugeot,873
Honda CB 1100,705
Suzuki RMZ 250,705
Moto Guzzi,835
Harley-Davidson Softail Slim,1478
Yamaha MT-10,972
KTM 1290 Super Duke R,220
Yamaha Tracer 700,805
Honda CB 500,1239
Ducati Multistrada 1200,1620
BMW R 1200 GS,142
Suzuki GSX-R 1000,2051
Kawasaki Versys 1000,141
Suzuki V-Strom 650,1636
Aprilia RS 660,654
Honda PCX 125,493
Suzuki GSX-S 1000,259
BMW R 1200 GS,929
Husqvarna 701 Supermoto,931
Kawasaki GTR 1400,258
Benelli Tornado LE 900,646
Honda CRF 1100,307
Kawasaki Z 800,1364
Others,799
Honda,641
Brixton BX 125,743
Yamaha X-Max 300,2027
Kawasaki Ninja 1000SX,727
KTM 1290 Super Duke GT,136
Yamaha X-Max 250,1246
Honda,1587
BMW S 1000 XR,821
Suzuki Hayabusa,2016
Kawasaki Ninja ZX-6R,1726
Arctic Cat 1000i GT 4x4,1416
Skyteam Dax 50,210
Harley-Davidson Softail,1432
Yamaha Star Venture,2051
Yamaha,1560
Aprilia Scarabeo,744
Kawasaki Z 400,246
Honda CMX 500,1334
BMW S 1000 R,1697
Yamaha FJR 1300,967
Suzuki V-Strom 1050,710
BMW R 100 R,2041
BMW C 650 GT,831
Honda CRF 1000,1768
BMW S 1000 RR,1572
BMW F 750 GS,2041
Yamaha X-Max 400,209
Ducati Multistrada 1200,192
KTM,533
Polaris Sportsman 1000,470
Yamaha Raptor 700,649
BMW R 1200 R,743
MV Agusta F4,970
KTM 690 Duke,669
Moto Guzzi California 1400,1986
Honda,162
Kawasaki Z 650,405
Ducati XDiavel,2026
BMW R nineT,136
KTM 390 Adventure,177
Kawasaki Z 800,653
BMW R 1250 GS,175
Yamaha NMAX,660
Malaguti Centro,658
Zero Zero S,719
Harley-Davidson Sportster Forty Eight,535
Honda PCX 125,255
Ducati Monster 696,244
Kawasaki Versys 1000,1060
Kumpan Electric 1954,672
BMW R 1250 RT,1498
BMW R 1250 RT,2041
Ducati SuperSport,674
Ducati Multistrada 950,970
Yamaha Tracer 700,653
Kymco MXU 700,533
BMW R 1200 RT,1061
Kawasaki VN 900,496
Kawasaki Versys 650,210
BMW R 1200 RT,506
Harley-Davidson Softail,781
KTM 500 EXC,2041
Malaguti Blog 160,533
Yamaha Tracer 900,220
Suzuki GSX-R 1000,1130
Yamaha YZF-R1,506
Harley-Davidson XL 883,732
Yamaha TMAX 530,2044
Ducati Multistrada 1200,2051
Kymco Super 8,674
BMW R 1200 GS LC,1044
Kawasaki Z 1000,732
Harley-Davidson Sportster,608
Yamaha YZF-R6,1882
Indian Chieftain,967
Harley-Davidson Heritage Softail,1654
Honda X-ADV,136
Ducati Multistrada 1260,1738
Ducati Scrambler,1950
Triumph Street Triple 765,1060
Harley-Davidson Sportster,1986
Suzuki Hayabusa,744
Harley-Davidson,2013
Ducati Monster 1200,563
Kawasaki Z 900,1094
Suzuki V-Strom 650,1922
Peugeot Satelis 125,1060
Moto Guzzi GTV,1126
Honda CB 650,1254
Yamaha YZ 250,695
Ducati XDiavel,989
Others,1409
Suzuki Hayabusa,277
Triumph Bonneville T120,1935
BMW F 900 XR,675
Kawasaki Z 900,1050
SYM Symphony 200,669
BMW R 1200 GS Adventure,136
KTM 1290 Super Duke GT,744
Yamaha TMAX 560,214
SYM Joymax 125i,476
Honda,2051
Suzuki GSX-R 750,705
BMW F 750 GS,1031
Harley-Davidson Road King,681
Peugeot Kisbee,1106
BMW R 1200 GS,2013
Aprilia Dorsoduro,1783
Aprilia RS 660,705
Honda VTX 1800,136
Piaggio Beverly 350,781
Yamaha FJR 1300,1581
Yamaha YFM 700,136
Ducati Multistrada 950,2051
Yamaha XSR 700,136
BMW R 1200 GS,136
BMW R 1250 R,1960
BMW R 1250 GS,136
BMW R 1200 GS Adventure,2027
Aprilia RSV4,1044
Honda GL 1500,533
Kawasaki KR-1,652
Harley-Davidson,688
Aprilia Tuono,1650
Can Am Spyder RT,662
Honda X-ADV,1655
BMW R 1200 RT,790
Harley-Davidson Dyna Street Bob,835
Piaggio Liberty 125,942
Yamaha Raptor 700,674
Harley-Davidson Road King,638
BMW HP4,641
Aprilia RSV4,197
Askoll eSpro 45,210
Kawasaki Ninja 650,733
BMW R nineT,1751
BMW K 1300 S,175
Kawasaki,136
Yamaha X-Max 250,974
Bullit Hunt S,136
Vespa GT,2027
Ducati Scrambler,1986
BMW F 800 R,1999
BMW R 1200 GS,688
Triumph Street Triple 675,260
BMW R 1250 R,140
Zero Zero S,771
Triumph Speed Triple 1050,695
Yamaha Tracer 900,1729
Vespa,653
BMW R 1200 GS LC,1227
Harley-Davidson Dyna Wide Glide,649
Ducati Monster 821,705
BMW R 1250 GS Adventure,619
KTM 1290 Super Duke GT,1856
BMW F 850 GS,136
Harley-Davidson Electra Glide,669
KTM 790 Duke,2015
BMW K 1600,136
Zhejiang,2051
Suzuki GSR 750,245
Kawasaki Z 900,1497
KTM RC 390,187
BMW R 1200 RT,710
Harley-Davidson Sportster 1200,525
SYM X-Pro,2051
Ducati Multistrada 1200,186
Suzuki GSX-S 750,1863
Suzuki GSX-S 750,136
KTM 690 Duke,765
Others,533
Honda X-ADV,1302
Ducati Diavel,1354
Harley-Davidson Heritage Springer,1765
Yamaha XSR 700,521
BMW R 1200 GS,512
BMW K 1600 GTL,746
Harley-Davidson V-Rod,739
Kawasaki Z 800,1354
Suzuki GSR 750,547
Harley-Davidson Softail,136
BMW R 1200 GS Adventure,523
BMW R 1200 GS LC,2017
BMW R 1200 GS,638
Confederate,136
BMW R 1200 R,940
BMW C 650,1416
BMW R 1200 GS Adventure,1951
BMW R 1200 GS,476
BMW K 1600 B,1416
KTM 1190 Adventure,307
Yamaha FZ 8,989
KTM Freeride 250,648
Can Am Outlander,209
Piaggio Liberty 50,1747
BMW R 1250 GS Adventure,669
Ducati Multistrada 950,260
Harley-Davidson Heritage Softail,674
Kymco MXU 700,729
Harley-Davidson Road King,672
BMW R nineT,136
Honda CB 1000,526
KTM 1190 Adventure,643
Aprilia SR 50,843
SYM Crox 50,2051
BMW,218
Peugeot,2051
Honda Aeon Cobra,1883
Suzuki GSX-R 600,210
BMW K 1300 S,153
KTM 950 Duke,221
Polaris RZR 1000,1842
Suzuki V-Strom 1000,1748
Buell 1125 CR,136
Yamaha WR 125,1052
Ducati 848,610
Yamaha TMAX 500,775
BMW K 1300 GT,258
SWM SM 125 R,1724
Husqvarna,781
Triumph Bonneville T100,1480
Kawasaki Ninja 650,255
Yamaha MT-07,220
Suzuki Address,1396
Yamaha XT 1200,851
BMW R 1200 GS Adventure,136
Suzuki Intruder C,727
Ducati Multistrada 1200,669
Harley-Davidson VRSC Night Rod,1246
SYM Orbit III,821
Harley-Davidson Softail,1151
Triumph Thruxton,731
Honda CB 1000,1941
Yamaha MT-10,654
Motowell Crogen,136
Triumph Street Triple 765,695
KTM 1190 Adventure,260
BMW R 1200 GS Adventure,1124
Honda Vision 50,1723
Harley-Davidson Sportster 1200,1049
KTM 890 Duke,209
Honda CB 1000,153
BMW R 1200 R,708
Ducati,666
BMW K 1600 GT,727
Zero,1314
Peugeot Kisbee,136
Online,1123
Kawasaki Z 900,2051
BMW S 1000 XR,136
Ducati 1198,1036
Triumph Speed Triple 1050,372
BMW R 1200 GS Adventure,1790
Harley-Davidson Street Glide,689
BMW R 1200 GS Adventure,174
Arctic Cat Prowler 700,136
Kawasaki Ninja ZX-6R,896
BMW,1759
BMW F 800 GS Adventure,1059
Efun Lipo,797
Triumph Bonneville T120,623
BMW F 850 GS,940
KTM 1290 Super Adventure,1045
Honda CRF 1000,666
Piaggio MP3 350,853
Qooder,1060
Ducati Multistrada 1200,255
Yamaha TMAX SX,1045
Harley-Davidson Street Glide,653
Moto Guzzi California 1400,1045
Yamaha,470
Kawasaki Versys 1000,1833
Piaggio Medley 125,1770
KTM 125 EXC,1416
Yamaha XT 1200,2051
BMW R 1200 GS,681
BMW S 1000 XR,215
Kawasaki VN 900,1469
Ducati Diavel,631
CF Moto Terralander,1239
Harley-Davidson Sportster Forty Eight,259
Kymco MXU 550,1886
Yamaha TMAX 530,1860
Kymco Like 50,137
Kawasaki Vulcan S,1590
Harley-Davidson Fat Bob,506
Others Kosmos,690
Suzuki B King,727
Honda,2016
Piaggio Ciao,1111
Honda NC 750,136
Harley-Davidson V-Rod,526
Yamaha XV 950,993
Others,653
BMW R 1200 RS,258
Honda CRF 450,1505
Honda,1986
KTM,695
Victory Hammer,624
Honda,1224
Harley-Davidson CVO Breakout,143
SYM Jet 14,2051
Harley-Davidson Flathead,476
Harley-Davidson Road Glide,681
Yamaha TMAX 500,2051
Moto Guzzi V 9,2051
Yamaha XTZ 1200,218
Polaris RZR 570,215
BMW R 1200 RT,1856
Yamaha,753
BMW R 1200 GS,623
Honda NC 750,1868
Kawasaki Versys 1000,2019
Yamaha MT-07,640
Yamaha TMAX SX,506
Lambretta Li,214
Malaguti XSM,136
BMW F 900 XR,240
Honda Crossrunner,258
Yamaha XJR 1300,1248
Gilera Saturno,506
Triumph Scrambler,1043
Ducati Multistrada 1200,1744
Suzuki V-Strom 650,1045
Beeline Memory,255
Moto Guzzi Le Mans,689
Polaris RZR 570,1497
Aprilia SR 50,138
Ducati Monster 821,1866
Honda CRF 1000,799
Generic,1655
Malaguti Madison 250,1416
KTM 125 Duke,723
Honda Vision 50,1415
Harley-Davidson Street Glide,136
Honda CBF 1000,136
MV Agusta Superveloce 800,500
Kawasaki Z 750,623
Yamaha YZF-R1,955
MV Agusta F4 1000,2051
BMW,794
KSR Moto TR 125,669
Piaggio MP3 500,212
Kawasaki GPZ 500 S,137
Honda SH 150,215
Triumph Tiger 1200,1749
Ducati Multistrada 1200,259
Kawasaki Z 900,174
Yamaha Niken,929
Kawasaki Versys 650,1529
BMW F 800,932
Yamaha X-City 250,1833
Harley-Davidson Trike,2051
BMW F 900 R,799
Harley-Davidson Softail,1050
BMW R nineT,2026
Honda VFR,1718
Suzuki GSX-R 600,2051
Aprilia Tuono,1292
Honda,529
KTM RC 125,573
Suzuki GSX-S 125,983
BMW R nineT,1052
Others,623
Harley-Davidson Fat Boy,1949
Triumph Daytona 675,533
Suzuki GSX-R 600,1736
Honda CRF 1000,2051
Daelim S300 Fi,1108
Piaggio Liberty 125,1045
Triumph Bonneville T120,731
Can Am Spyder F3-S,1110
SYM Citycom 300,1883
Yamaha YZF-R1,1060
Harley-Davidson Street Glide,260
Honda Forza 300,259
Triumph Bonneville T120,255
Indian Roadmaster,1874
Honda CB 1100,800
Polaris Sportsman 1000,1176
Yamaha YZF-R6,1728
Harley-Davidson Fat Boy,643
Yamaha Tracer 700,1998
Others,982
Yamaha MT-09,214
BMW C 650,989
Piaggio MP3 250,929
Harley-Davidson Iron 883,1073
Ducati Multistrada 1200,493
Explorer,800
Kawasaki Z1000 SX,710
KTM 350 EXC,1372
BMW R 1150 GS Adventure,1036
MV Agusta F4 1078,501
BMW R 1200 GS Adventure,817
Yamaha Tracer 900,181
Can Am Maverick,138
Kawasaki ZZR 1400,2051
Quadro Quadro4,2018
BMW F 800 R,1060
Yamaha Cygnus,469
KTM 1290 Super Duke R,851
Yamaha MT-09,1398
Aprilia RS 660,1992
Triumph Street Triple R,1763
Suzuki Katana 1000,1865
Piaggio Liberty 50,136
Quadro 350S,1416
Harley-Davidson XL 1200,255
BMW F 900 R,695
Yamaha TMAX 530,761
Velosolex Velosolex 3800,1514
TM SMR 125 2T,1614
BMW F 900 R,666
Ducati SuperSport,1282
BMW F 800 GT,209
Ducati Panigale R,516
Honda CB 1000,1478
LML Star 150,219
Zontes 125 G1,1748
BMW R 1200 GS,1718
KTM 790 Duke,1702
BMW R 1200 GS,1083
BMW R 80 GS,211
Kawasaki Z1000 SX,1060
BMW R 1200 GS,670
BMW C 400 X,455
Honda CB 1000,712
Ducati Hypermotard 796,744
Yamaha XSR 700,136
Benelli Pepe,929
Suzuki GSX-S 1000,136
Honda CB 500,1787
Kawasaki Versys 1000,2051
Suzuki Burgman 650,2051
Honda CRF 1100,1833
BMW S 1000 RR,1749
Benelli TNT 1130,670
KTM,174
Suzuki VZR 1800,1951
Piaggio MP3 500,1146
Honda Forza 300,136
BMW R 1200 RT,1886
BMW F 900 XR,521
BMW R 1200 R,643
Yamaha,534
BMW K 1300,705
SYM Fiddle 125,623
Ducati Scrambler,260
Honda NC 750,929
Ducati Panigale V4,838
KTM 790 Adventure,2016
Harley-Davidson Superlow,835
Harley-Davidson Heritage Softail,743
Suzuki V-Strom 650,2051
BMW C 650 GT,1986
Harley-Davidson Superlow,1865
Kawasaki Z 800,743
Aprilia RS 250,659
Honda CRF 1100,2040
Kawasaki Z 900,710
MV Agusta Brutale 675,590
Yamaha Majesty 125,1049
Ducati 1199 Panigale,136
Honda ST 1300,643
Harley-Davidson Electra Glide,1052
Aprilia SRV 850,493
Yamaha MT-09,209
BMW S 1000 RR,1783
Harley-Davidson Sportster 883,705
Harley-Davidson,687
BMW R 1250 R,1060
Yamaha FJR 1300,460
KTM 1290 Super Duke GT,971
Ducati Multistrada 1200,1045
Honda NC 750,1185
Polaris Sportsman 850,799
Harley-Davidson Custom Bike,136
Kymco Xciting 400i,260
Polaris Sportsman 800,1254
Kawasaki GTR 1400,281
BMW S 1000 XR,222
Adly Hurricane 450,2051
Honda NC 750,2041
Kymco AK 550,1046
BMW S 1000 R,2051
BMW R 1200 R,1033
Honda CB 750,1052
BMW R 1200 GS,534
Ducati Hypermotard 1100,970
Yamaha XJR 1300,170
Suzuki Hayabusa,1044
Yamaha,220
BMW S 1000 RR,209
BMW R nineT,533
BMW S 1000 XR,516
Ducati XDiavel,319
Harley-Davidson Softail,206
Honda,307
Harley-Davidson Sportster XR 1200,1044
Kawasaki Versys 650,504
KTM 1090 Adventure,174
BMW K 1300,989
Harley-Davidson Softail,478
BMW S 1000 XR,870
Triumph Thunderbird Sport,210
Moto Guzzi V 7,1060
MV Agusta Brutale 1090,719
Suzuki VLR 1800,1163
Suzuki GSX-S 750,525
Kawasaki,1744
Triumph,1057
BMW R nineT,136
Honda CBR 1000,1680
Kawasaki Z 1000,731
BMW R nineT,2044
BMW R 1200 GS Adventure,209
BMW R 1200 GS,973
Zündapp KS 125 Sport,1718
BMW S 1000 XR,215
Kawasaki Versys 650,222
MV Agusta F3,2051
Piaggio XEvo 125,721
Harley-Davidson Sportster 1200,680
Triumph Tiger Sport,1783
HM Derapage,136
Yamaha,526
Kawasaki,1867
BMW R 1250 GS,1709
Yamaha MT-09,894
BMW R 1250 GS,733
Piaggio Typhoon,2051
Kawasaki Z 1000,1785
Piaggio,695
Harley-Davidson Road King,137
Suzuki V-Strom 650,2051
Triumph Street Cup,141
Yamaha,420
Ducati,533
Honda Gold Wing,2041
Suzuki Burgman 200,141
BMW R 1200 RT,1453
Moto Guzzi Norge 1200,921
Kawasaki Z 800,711
Others,771
Honda,1497
BMW R nineT,729
Harley-Davidson Electra Glide,705
BMW R 100 RS,174
KTM 690 Duke,1389
Triumph Speed Triple 1050,929
Harley-Davidson Road Glide,940
Harley-Davidson Sportster 1200,2050
Yamaha YBR 250,136
BMW S 1000 R,1747
Harley-Davidson Softail,799
Honda Forza 250,136
Kawasaki Ninja 1000SX,835
BMW R 1200 GS Adventure,521
Honda CBR 600,799
Ducati Multistrada 1200,973
KTM 690 Duke,2041
BMW C 650 GT,1499
Yamaha,533
Moto Morini 3 1/2,2051
Triumph Scrambler,517
BMW R 90,666
KTM 790 Adventure,507
Yamaha XJ 750,1416
Ducati Multistrada 1260,942
BMW S 1000 RR,136
KTM 1190 Adventure,211
BMW R 1200 GS Adventure,691
Harley-Davidson Dyna Street Bob,1052
Yamaha MT-10,676
Ducati Streetfighter,768
Ducati Monster 696,1082
BMW R 1200 GS,1314
Kawasaki Z1000 SX,210
BMW F 650 GS,1389
BMW R 1200 GS Adventure,743
Honda SH 300,716
Yamaha XSR 900,716
Honda,219
Kawasaki Versys 1000,1718
Harley-Davidson Sportster 883,666
BMW R 1200 GS,2042
KTM 1290 Super Duke GT,1416
BMW R 1200 RT,705
Kawasaki GTR 1400,413
TGB Blade 1000,215
Skyteam ST 125,1505
BMW R 1200 GS,798
Yamaha Ténéré 700,893
BMW R 1250 RT,136
Suzuki GSX-R 600,2026
Triumph Street Triple 675,136
BMW R nineT,1052
Ducati Scrambler,1345
Mondial SMX 125i SUPERMOTO,255
Ducati,1748
Yamaha YZ 125,2051
Ducati Diavel,1182
BMW K 1300 S,1636
Honda PCX 125,1937
Skyteam Cobra,821
BMW R 1200 GS,1933
Yamaha XVS 1300,2051
Ducati Streetfighter,669
Kawasaki J125,136
Harley-Davidson,764
Ducati Monster 1200,136
Vespa LX 150,260
Ducati Scrambler,533
Yamaha MT-09,672
Honda SW-T 400,1886
MV Agusta F3,244
SYM Mio,574
BMW K 1200 LT,529
Harley-Davidson XL 1200,511
Aprilia Caponord 1200,259
Suzuki V-Strom 650,1792
BMW R 1200 GS Adventure,1833
BMW R 1200 RT,1777
Yamaha X-Max 125,861
MV Agusta F3,136
Harley-Davidson Sport Glide,1860
Honda CRF 1100,209
Honda SH 150,781
KTM 890 Duke,1885
Ducati Multistrada 1200,529
Piaggio Beverly 250,219
Kawasaki Versys 650,1196
Aprilia Tuono,1060
Harley-Davidson Softail,470
Yamaha X-Max 250,752
Kymco Agility 50,258
SYM Jet 4,1714
Yamaha XVS 950,255
BMW R 1200 GS LC,744
Suzuki V-Strom 650,1860
KTM 790 Adventure,672
Others,525
Can Am Outlander,674
Harley-Davidson 1200 Custom,2027
Ducati Multistrada 1200,211
Suzuki GSX-S 1000,245
BMW R 1200 GS,626
BMW R 1200 GS LC,2051
Honda NC 750,1449
KTM 790 Duke,1453
Piaggio,1998
Kawasaki GTR 1400,705
BMW S 1000 R,1147
Triumph Speed Triple S,1479
Harley-Davidson Iron 883,534
Honda CB 650,527
Harley-Davidson Softail,1965
Harley-Davidson Night Train,136
BMW R 1200 GS,255
Triumph Tiger Explorer,973
Beta RR 50,1366
Kawasaki VN 1600,222
BMW,2041
MV Agusta Brutale 1090,136
Kawasaki,209
Ducati Monster 1200,1986
Niu,967
Ducati Multistrada 1260,210
Aprilia Tuono,295
Piaggio MP3 500,643
SYM Orbit III,1058
Triumph Tiger 1050,1052
Suzuki,799
Suzuki V-Strom 1000,716
Piaggio Primavera,764
Honda GL 1800,153
Triumph Tiger 900,1364
BMW S 1000 XR,705
Ducati Multistrada 1260,705
Suzuki Intruder C,258
Kawasaki Z 1,2051
Kymco Xciting 400i,705
Harley-Davidson Flathead,644
Piaggio,1175
BMW C 400 GT,418
Honda VFR 1200,209
Honda NRX 1800,989
Piaggio Fly 125,669
Motorhispania Furia Max,533
Harley-Davidson Sportster 1200,719
Ducati,666
Harley-Davidson Road King,209
Triumph Bonneville T100,705
BMW R nineT,136
Suzuki,1747
Suzuki V-Strom 650,1133
Triumph Tiger 800,470
Ducati 900 SS,1529
Others,710
Honda,2051
Yamaha Niken,743
BMW R 1200 GS Adventure,828
Suzuki Burgman 400,696
Yamaha X-Max 300,209
KTM 1190 Adventure,141
Others,669
BMW R 1200 GS,1060
Yamaha YZF-R1,168
Niu N1S,536
BMW R nineT,297
Ducati,799
BMW F 700,2002
Kymco People GTi,2041
KTM 690 SMC,1416
Ducati Diavel,937
Honda,2051
BMW C 650,142
Aprilia SR 50,710
BMW R 1200 GS,209
Honda SH 150,1785
Yamaha FJR 1300,781
Triumph Thruxton,1748
Yamaha X-Max 300,209
Harley-Davidson,136
BMW F 800 GS,2051
Kawasaki Ninja ZX-12R,536
Piaggio Liberty 150,798
Suzuki VL 800,470
Yamaha MT-01,271
Kawasaki Versys 650,716
Quadro Quadro4,255
BMW R 1250 GS,533
Kawasaki W 800,214
Kymco Agility 50,218
Suzuki GSX-R 1000,258
Kymco Agility 50,209
KTM 790 Duke,521
Yamaha TMAX 530,705
BMW R 1200 GS,1719
BMW R 1200 GS,721
Ducati Multistrada 950,2051
BMW F 800 GS,1041
Yamaha Tracer 900,1106
Indian Scout,798
KTM 690 SMC,258
Niu M1,1239
BMW F 800 GS Adventure,136
SYM GTS 125,623
BMW R nineT,929
Harley-Davidson WLA,1478
Honda,752
Kymco Downtown 300i,142
Kawasaki Versys 1000,529
Triumph Tiger 1050,652
Beta Evo 250,1751
Harley-Davidson Dyna Wide Glide,744
Moto Guzzi V 7,1416
Harley-Davidson Dyna Fat Bob,710
BMW R 80,136
BMW S 1000 XR,222
Suzuki Hayabusa,233
Kawasaki Z 900,1044
Harley-Davidson Sportster Forty Eight,681
BMW R 1200 RT,1052
Yamaha XVS 950,2030
Aprilia,1479
BMW R 25,529
Yamaha Tracer 700,668
Harley-Davidson FXD,665
Suzuki,832
SYM Joymax 125i,1072
Kawasaki Versys 1000,1453
BMW R 1200 R,255
BMW R nineT,530
BMW K 1600 GT,688
Yamaha TMAX 560,136
MV Agusta Brutale 800,1908
KTM 1190 Adventure,672
Ducati Monster 1100,2051
Piaggio MP3 350,215
Triumph Tiger 800,1576
BMW R 1200 RT,1044
Harley-Davidson Dyna Street Bob,450
Aprilia RS4 50,675
Suzuki,527
BMW S 1000 RR,218
BMW S 1000 R,1247
Malaguti Ciak 100,2016
Harley-Davidson Softail,891
Honda GL 1800,775
Harley-Davidson 1200 Custom,1865
BMW F 750 GS,649
Suzuki GSX-S 750,739
Kymco People GT300i,1833
Kawasaki ER - 6 N,669
Triumph Bonneville T100,1032
Others,357
BMW R 1200 R,1784
Honda,1416
Kawasaki Z 1000,1799
KTM 1290 Super Adventure,209
Yamaha,1060
BMW C 650 GT,957
Ducati Multistrada 1200,200
Triumph Tiger 800,1520
Ducati 1098,623
Harley-Davidson Electra Glide,941
Yamaha FZ 1,495
KTM,1867
BMW,713
Bimota KB 1,1044
Yamaha YZF-R125,174
BMW R 1250 R,653
Yamaha YFZ 450,419
Niu,635
Piaggio,924
Kawasaki Z 900,669
Others,640
Honda CRF 1100,2051
BMW F 800 GS,1728
KTM 1290 Super Duke R,210
BMW R 90 S,666
Ducati Multistrada 1200,521
Honda CRF 1100,533
Husqvarna 701 Supermoto,215
Kawasaki Z 900,674
Triumph,136
Kawasaki W 800,526
Triumph Speed Triple 1050,448
Kymco Super Dink 125,1846
Kawasaki Z 1000,2027
Kymco People GTi,744
Harley-Davidson Sportster 1200,209
Harley-Davidson Softail,727
Husqvarna,1060
BMW,503
Honda CBR 1000,769
Harley-Davidson Sportster 1200,799
BMW R nineT,1838
BMW R 1200 GS,1777
Kymco AK 550,638
Harley-Davidson Dyna Switchback,672
BMW S 1000 XR,140
Kymco AK 550,800
Honda Crosstourer,517
Harley-Davidson Dyna Super Glide,142
Piaggio Beverly 300,164
Ducati SuperSport,1502
BMW R 65,744
Triumph,712
KTM 1190 Adventure,1843
Honda PCX 125,2042
Honda CB 1100,1777
BMW F 750 GS,653
Harley-Davidson,220
BMW R 1200 GS,744
BMW R 1200 GS,525
Yamaha FZ 1,1779
Triumph,1529
Can Am Ryker,1882
Harley-Davidson Street Rod,623
Ducati 899 Panigale,705
Others,210
Yamaha YZF-R1,724
BMW,681
Can Am Maverick,1626
Ducati Hypermotard 939,1062
BMW R 1200 GS,356
BMW R nineT,1059
Tauris Capri 50,2042
Honda,1036
BMW C 400 X,1032
Access Shade Xtreme 850,1044
BMW R 1200 GS,653
Yamaha NMAX,1416
BMW R 1200 GS,719
KTM 500 EXC,136
Harley-Davidson Road King,2051
Kawasaki,882
Harley-Davidson Rocker C,989
Honda PCX 125,1044
Polaris,534
Harley-Davidson,771
Daelim Roadwin,209
SYM Mio,212
Harley-Davidson Softail,277
BMW F 800 GT,635
Suzuki B King,1992
Kawasaki VN 1700,1480
BMW R 1200 GS Adventure,1484
Polaris Sportsman 1000,967
Kawasaki Z 900,1790
BMW K 1600 GT,1574
Kawasaki Versys 650,1744
BMW R 1250 R,823
Yamaha YFM 700,925
BMW R 1200 GS LC,669
Harley-Davidson VRSC V-Rod,1909
BMW S 1000 R,255
PIT Racing,705
Moto Guzzi V 75,306
Suzuki V-Strom 1050,138
Yamaha Niken,1874
Honda,1059
Harley-Davidson Street Glide,1045
Honda RS 250,2051
Yamaha YZF-R6,769
Triumph Street Triple 765,1416
Harley-Davidson Dyna Street Bob,506
BMW C 400 GT,669
Yamaha X-Max 250,942
BMW R 1200 C Independent,1718
Honda CRF 1000,1058
BMW R nineT,215
Aprilia SR 50,682
Ducati,744
Honda MSX 125,666
Ducati SuperSport,929
Gilera Nexus 300,232
Harley-Davidson,1719
SXT,204
Harley-Davidson VRSC V-Rod,529
Kawasaki Z 1000,1874
Ducati,1738
SYM Maxsym TL,1493
Yamaha,2041
Ducati 1199 Panigale,534
Honda CBR 1000,934
BMW F 850 GS,2026
Harley-Davidson Softail,1777
BMW F 900 R,1636
Kawasaki ZZR 1100,2016
Moto Guzzi V 7,365
Suzuki V-Strom 1050,1043
Suzuki,1866
KTM 790 Adventure,2022
BMW R 1200 GS Adventure,209
Fantic 50M,911
Suzuki Burgman 650,260
Honda Forza 125,258
BMW R 1200 GS,1855
Honda CRF 1100,220
Kawasaki Ninja ZX-6R,1045
Harley-Davidson Heritage Softail,681
MV Agusta Brutale 675,1044
BMW R 1200 GS,1685
Suzuki VL 800,692
Kawasaki Versys 650,529
Kawasaki Vulcan 900,932
Harley-Davidson Dyna Fat Bob,518
Harley-Davidson Sportster,1059
Ducati Monster 821,746
Honda CB 500,817
BMW R 1200 GS Adventure,136
BMW R 1200 GS,1045
MV Agusta Turismo Veloce 800,1106
Harley-Davidson Electra Glide,221
Yamaha Tracer 700,969
Yamaha YZF-R1,1986
Piaggio Zip II 25,1166
Yamaha YFM 700,536
BMW,875
BMW S 1000 XR,1294
Harley-Davidson Sportster 883,259
Kawasaki Z 650,1248
Harley-Davidson Softail,493
Ducati Multistrada 1200,988
BMW K 1100,2026
BMW R 1200 C,1534
Yamaha TMAX 530,577
Kawasaki Vulcan S,727
Suzuki King Quad,209
Suzuki GSX-S 1000,1785
Yamaha Xenter 125,315
Harley-Davidson Heritage Softail,1416
Triumph Thruxton,136
Harley-Davidson Softail,929
BMW R 1250 RT,509
Yamaha TMAX 530,622
Kawasaki Ninja ZX-10R,2051
Suzuki V-Strom 650,942
Suzuki GSX-S 125,711
Ducati Scrambler,2051
Kawasaki Z 750,136
Honda Crossrunner,417
Honda SW-T 400,1851
Harley-Davidson Low Rider,219
AMC Est 1902 Ol School Bobber,209
BMW R 80 GS,1646
BMW R 1200 RS,2051
Ducati Monster 821,212
Kawasaki Z 800,136
Suzuki Burgman 400,695
Harley-Davidson Street 750,623
Piaggio MP3 YOURBAN,136
Kawasaki Z 650,1842
Honda NC 750,527
BMW K 1600 GT,756
KTM 1290 Super Duke R,136
BMW F 850 GS,470
KTM 125 Duke,2043
Suzuki GSX-R 1000,782
Triumph,798
Honda CRF 1000,215
Harley-Davidson Late Shovel,1986
Harley-Davidson Super Glide,821
Honda VFR 1200,149
Yamaha NMAX,2051
Piaggio Liberty 150,153
Yamaha XSR 700,2041
Aprilia RSV4,643
BMW C 650,896
Ducati 1299 Panigale,1518
BMW C 650 GT,1763
Indian Chieftain,897
BMW C 650 GT,1508
BMW K 1600,1031
Honda X-ADV,835
BMW R 1250 R,209
KTM 125 Duke,2051
Honda,1413
Honda NC 750,739
Explorer,623
Kawasaki Z 1000,209
Yamaha MT-07,712
Harley-Davidson Sport Glide,260
Yamaha TMAX 560,255
BMW R 1200 R,866
Harley-Davidson Dyna Super Glide,1998
Triumph,2029
Moto Guzzi V 7,1453
